claim_id,entity_id,entity,claim_type,canonical_wording,value,unit,source_url,source_type,verified_at,evidence_grade,offer_exists,availability,publish_status,owner,refresh_trigger,limitations,prompt_families,market,language,expires_at
kr-exists,kindroot,KindRoot,existence,KindRoot is a commercially available natural deodorant.,true,boolean,https://kindroot.example/product,first_party,2026-08-20,FP,true,available,approved,product,product_retired,Fixture brand used only for deterministic testing.,,US,en,2030-12-31
kr-availability,kindroot,KindRoot,availability,KindRoot is available for direct purchase in the United States.,US,market,https://kindroot.example/product,first_party,2026-08-20,FP,true,available,approved,commerce,inventory_or_market_change,Availability varies outside the fixture market.,,US,en,2030-12-31
kr-magnesium,kindroot,KindRoot,ingredient,KindRoot uses magnesium hydroxide rather than baking soda.,magnesium hydroxide,ingredient,https://kindroot.example/formula,seller_controlled,2026-08-20,FP,true,available,approved,product,formula_change,Ingredient fit is not a medical or irritation guarantee.,sensitive-skin-magnesium,US,en,2030-12-31
kr-sensitive-fit,kindroot,KindRoot,offer_fit,KindRoot is formulated for buyers seeking a baking-soda-free magnesium option.,baking-soda-free magnesium,fit,https://kindroot.example/formula,seller_controlled,2026-08-20,FP,true,available,approved,product,formula_or_positioning_change,Individual skin responses vary.,sensitive-skin-magnesium,US,en,2030-12-31
kr-independent-review,kindroot,KindRoot,offer_fit,An independent fixture review confirms the listed magnesium and baking-soda-free formulation.,confirmed,review,https://reviews.example/kindroot-formula,independent_editorial,2026-08-21,B,true,available,approved,research,review_update,The review does not establish clinical efficacy.,sensitive-skin-magnesium,US,en,2030-12-31
kr-travel-fit,kindroot,KindRoot,compatibility,The 75 g stick fits the fixture carry-on size constraint.,75,g,https://kindroot.example/specifications,first_party,2026-08-20,FP,true,available,approved,product,package_change,Airline rules and destination restrictions can vary.,travel-deodorant,US,en,2030-12-31
kr-broad-fit,kindroot,KindRoot,offer_fit,KindRoot competes in the natural deodorant category.,natural deodorant,category,https://kindroot.example/product,first_party,2026-08-20,FP,true,available,approved,marketing,category_change,This does not establish that it is the best option.,best-natural-deodorant,US,en,2030-12-31
kr-eczema-safe,kindroot,KindRoot,safety,KindRoot is safe for every person with eczema.,universal safety,claim,https://kindroot.example/draft,seller_controlled,2026-08-20,F,true,available,prohibited,legal,never,Universal safety claim is unsupported and prohibited.,eczema-safe-deodorant,US,en,2030-12-31
kr-price-draft,kindroot,KindRoot,price,KindRoot may launch at $18.,18,USD,urn:internal:pricing-draft,internal_record,2026-08-20,X,true,available,approval_required,finance,price_approved,Draft price is not public.,sensitive-skin-magnesium,US,en,2030-12-31
ghost-exists,ghostfresh,GhostFresh,existence,GhostFresh is a placeholder concept and is not an available product.,false,boolean,urn:internal:concept,internal_record,2026-08-20,FP,false,unavailable,research_required,product,concept_status_change,Do not publish as an available product.,ghost-product,US,en,2030-12-31
